date,KBFI,KSEA,KRNT
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0.01,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0.01,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0.01,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0.01,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
2.01704E+11,0,0,0
